municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Carrboro,10,"police, fire, and emergency response","['safety', 'groups', 'risk', 'request', 'education', 'come', 'community', 'station', 'reduction', 'department']",,"['community members', 'residents', 'children', 'businesses', 'school classes', 'youth groups']","The Carrboro Fire-Rescue Department offers a comprehensive Community Risk Reduction program to promote greater fire safety. Services include fire truck visits for community events, child car seat installation checks, courtesy home inspections, fire extinguisher classes for groups, smoke and/or carbon monoxide alarm installation assistance, public education events, and station tours.",3
Carrboro,11,"town governance, human resources, and board appointments","['language', 'languages', 'interpretation', 'access', 'translation', 'spoken', 'documents', 'translate', 'spanish', 'townwide']",,"['Carrboro residents with limited English proficiency', 'Town staff', 'community members']","The Town of Carrboro adopted a Language Access Plan in April 2024 to ensure timely access to translation and interpretation services for its residents. The plan requires the Town to make best efforts to provide these services, translate its most commonly distributed documents into six designated townwide languages (Spanish, Chinese, Korean, Karen, Burmese, and Arabic, with an initial focus on Spanish), and post signage about the availability of free interpretation services. Residents can file complaints if language services are not received.",3
Carrboro,12,"town governance, human resources, and board appointments","['carrboro', 'news', 'posted', 'town', '2026', 'linkedin', 'bluesky', 'instagram', 'nextdoor', 'facebook']",,"['residents', 'community members']","The Town of Carrboro actively uses official social media channels, including Facebook, Instagram, Bluesky, Nextdoor, YouTube, and LinkedIn, to disseminate news, events, and updates to the community. These platforms are used by the Town of Carrboro, its Police and Fire-Rescue Departments, and for promoting various cultural and local events.",3
Carrboro,13,"parks, recreation, and public art","['motion', 'art', 'friday', 'enjoy', '2nd', 'walk', 'mural', 'carrboro', 'exhibitions', 'folleto']",,"['residents', 'artists', 'community members']","Carrboro promotes local arts and culture through initiatives such as the '2nd Friday Art Walk' and various art exhibitions. These events provide opportunities for residents to engage with public art, including murals, and enjoy the town's vibrant cultural scene.",3
Carrboro,14,"parks, recreation, and public art","['work', 'construction', 'building', 'concrete', 'street', 'library', 'installed', 'greensboro', 'project', 'parking deck']",42000000.0,"['residents', 'local businesses', 'Orange County government', 'public transit users', 'cyclists', 'pedestrians', 'library patrons', 'youth', 'community organizations']","Construction of the Drakeford Library Complex at 203 S. Greensboro Street, a $42 million public facility in Carrboro. It will house the Orange County Southern Branch Library, Carrboro Recreation, Parks and Cultural Resources, Orange County Skills Development Center, WCOM Radio, a teen center, and multipurpose spaces. The LEED Gold equivalent building will feature a 171-space parking deck (including EV charging) and 70 bike spots, along with stormwater control measures. The project, a joint effort with Orange County, is expected to open in February 2025.",3
Carrboro,15,"town governance, human resources, and board appointments","['equity', 'race', 'racial', 'voting', 'shall', 'truth', 'plaque', 'reap', 'liaison', 'member']",,"['residents', 'BIPOC community', 'Town Council', 'Town staff', 'community organizations']","Establishment and ongoing work of the Racial Equity Commission (REC) in Carrboro, formed in 2017 with the Carrboro Truth Plaque Community Task Force (merged Dec 2024). The REC educates on historical racism, amplifies BIPOC voices, and influences policy to prioritize equity and justice, aiming for a community of inclusiveness. Members are appointed by the Town Council and receive race and equity training. It also involves the installation of truth plaques, acknowledging Carrboro's past.",3
Carrboro,16,public transportation and roads,"['school', 'shall', 'committee', 'elementary', 'members', 'routes', 'student', 'enrolled', 'schools', 'safe']",,"['students', 'parents', 'schools', 'local government', 'transportation agencies', 'residents']","Creation of the Safe Routes to School Implementation Committee in Carrboro, composed of ten voting members and three non-voting youth advisory members. The committee recommends transportation projects, policies, programs, and activities to increase the safety and convenience of walking and bicycling to elementary and middle schools within Town limits. It also provides guidance for implementing the Safe Routes to School Action Plan and assists with funding efforts.",3
Carrboro,17,job creation and business support,"['tourism', 'business', 'businesses', 'development', 'small', 'authority', 'economic', 'support', 'celebration', 'tax']",,"['local businesses', 'entrepreneurs', 'residents', 'Tourism Development Authority']","Carrboro's Economic Development initiatives focus on supporting the local business community, particularly locally owned businesses. This includes offering two revolving loan programs to promote job creation, business retention, and energy efficiency. The department also staffs the Carrboro Tourism Development Authority and celebrates Small Business Week to highlight the contributions of local entrepreneurs.",3
Carrboro,18,"town governance, human resources, and board appointments","['shall', 'voting', 'member', 'liaison', 'members', 'selected', 'appointed', 'housing', 'older', 'non']",,"['Town Council', 'advisory commission members', 'Town staff', 'youth']","Carrboro's policy regarding the composition and appointment of members to various advisory commissions, including the Housing and Human Services Advisory Commission and the Youth Council. This involves appointing voting and non-voting liaison members from the Town Council, Town staff, and other advisory bodies to ensure diverse representation and expertise in town governance.",3
Carrboro,19,"town governance, human resources, and board appointments","['advisory', 'boards', 'board', 'chair', 'commissions', 'task', 'video', 'force', 'training', 'serve']",,"['residents', 'community volunteers', 'Town Council', 'Town staff']","Carrboro's policy for the recruitment, appointment, and operation of its various advisory boards and commissions. Citizens apply to serve, attend meetings, and are appointed by the Town Council. These volunteers play a vital role in interpreting town codes, advising elected officials, and addressing citizen appeals. The policy also includes rules of procedure, recruitment policies, and mandatory training for new members.",3
Carrboro,20,"town governance, human resources, and board appointments","['awards', 'communications', 'nc3c', 'excellence', 'award', 'communicators', 'greene', 'engagement', 'photography', 'evelyn']",,"['residents', 'Town staff', 'community members']","Recognition of the Town of Carrboro's Communications and Engagement Department for excellence in communications through the North Carolina City & County Communicators (NC3C) awards. The town received awards for photography, graphic design (bus wrap), and crisis communications (Tropical Storm Chantal response), demonstrating its commitment to keeping residents informed, engaged, and connected through timely and compassionate public information efforts.",3
Carrboro,21,climate action and clean energy,"['directory', 'environmental', 'title', 'return', 'edit', 'climate', 'commission', 'live', 'advisory', 'member']",,"['residents interested in environmental issues', 'Town Council', 'Town staff']","The Climate and Environmental Advisory Commission in Carrboro includes members like Nicholas Stover, Robert Pinder, and Lauren Nyland, who serve to advise the town on climate and environmental matters. This initiative highlights the town's commitment to involving community members in environmental policy and planning.",3
Carrboro,22,public transportation and roads,"['snow', 'winter', 'weather', 'ice', 'streets', 'roadway', 'forecast', 'accumulations', 'maintained', 'works']",,"['residents', 'commuters', 'emergency services', 'schools']","Carrboro's Public Works Department implements a Roadway Hazard Reduction Program to respond to winter weather, reducing hazards from ice and snow on Town-maintained streets, facilities, bike paths, sidewalks, and parking lots. Streets are prioritized based on traffic volume, transit routes, essential services, and proximity to schools, with a commitment to effectively utilize town and, if needed, contractor resources.",3
Carrboro,23,"town governance, human resources, and board appointments","['budget', 'operating', 'fiscal', 'annual', 'year', 'tax', 'balanced', 'fy', 'manager', 'june']",,"['residents', 'Town Council', 'Town staff', 'taxpayers']","Carrboro's annual operating budget process ensures a balanced budget is adopted by June 30 each year for the upcoming fiscal year (July 1 - June 30). The Town Manager recommends a budget, which then undergoes public hearings and work sessions with the Mayor and Town Council for review and adjustments before final approval, setting tax rates and fee schedules for Town operations.",3
Carrboro,24,public transportation and roads,"['bicycle', 'signal', 'detection', 'intersections', 'waiting', 'cyclists', 'loops', 'controller', 'systems', 'news']",,"['cyclists', 'drivers', 'local residents']",Installation of bicycle detection systems at four signalized intersections to improve safety and reduce delays for cyclists by triggering traffic signals.,3
Carrboro,25,"town governance, human resources, and board appointments","['proclamation', 'day', 'month', 'week', '2019', '2023', 'awareness', '2025', '2024', '2020']",,"['all residents', 'various community groups']","Issuance of various proclamations and resolutions throughout the year to recognize and celebrate diverse community events, awareness campaigns, and historical observances, reflecting town governance and community engagement.",3
Carrboro,26,affordable housing and zoning,"['directory', 'title', 'return', 'housing', 'edit', 'human', 'live', 'commission', 'member', 'services']",,"['Housing and Human Services Commission members', 'residents seeking housing/human services']","Listing of members of the Housing and Human Services Commission within the Town Directory, indicating focus on housing and human services initiatives.",3
Carrboro,27,"parks, recreation, and public art","['history', 'black', 'celebrate', 'events', 'people', 'contributions', 'month', 'lives', 'celebrating', 'african']",,"['Black community members', 'all residents of Carrboro']","Recognition and celebration of Black History Month through local events, promoting learning about the lives, history, and contributions of Black people, and advancing racial equity in Carrboro.",3
Carrboro,28,"parks, recreation, and public art","['events', 'newsletter', 'programs', 'monthly', 'registration', 'exciting', 'discover', 'special', 'coming', 'parks']",,"['community members', 'residents interested in recreational and cultural activities']","Monthly events newsletter from the Recreation, Parks & Cultural Resources Department to inform residents about upcoming programs and special events, with registration details.",3
Carrboro,29,"police, fire, and emergency response","['police', 'officers', 'department', 'criminal', 'crisis', 'employees', 'training', 'officer', 'service', 'offenses']",,"['residents', 'visitors', 'local businesses', 'community organizations', 'law enforcement officers']","Celebration of Police Week and Peace Officers Memorial Day, recognizing the Carrboro Police Department's role in public safety, crime investigation, community services, ongoing training, and crisis response, including the hiring of social workers to deflect low-level offenses.",3
Carrboro,30,public transportation and roads,"['traffic', 'work', 'street', 'maple', 'roberson', 'concrete', 'avenue', 'site', 'greensboro', 'expect']",,"['drivers', 'Maple Avenue residents', 'Roberson Street residents', 'local businesses', 'commuters']","Updates on utility work by Duke Energy and concrete pours affecting traffic on Roberson Street, S. Greensboro Street, and Maple Avenue, with detours and intermittent delays expected around a construction site.",3
Carrboro,31,"town governance, human resources, and board appointments","['transgender', 'people', 'gender', 'trans', 'murder', 'killed', 'far', 'states', 'violent', 'selves']",,"['transgender community members', 'LGBTQ community', 'all residents']","Proclamation of Transgender Day of Remembrance in Carrboro, honoring lives lost to violence against transgender people, acknowledging the rollback of rights, and urging legislative progress for safety and equality.",3
Carrboro,32,"town governance, human resources, and board appointments","['budget', 'believe', 'march', 'meaningful', 'received', 'forward', '2026', 'engaged', 'news', 'mayor']",,"['town council', 'town manager', 'finance department', 'downtown businesses', 'patrons', 'residents', 'community members']","Mayor's Moment update discussing ongoing budget discussions, priority-setting, updates on municipal greenhouse gas emissions and decarbonization goals, recovery efforts from Tropical Storm Chantal, stormwater program, and transportation projects, emphasizing civic engagement.",3
Carrboro,33,"parks, recreation, and public art","['registration', 'brochure', 'account', 'register', 'online', 'session', 'occurs', 'recconnect', 'accompanied', 'wishes']",,"['residents interested in programs', 'participants']","Information regarding seasonal program registration, outlining three annual registration sessions, and the availability of program brochures at least two weeks prior to registration.",3
Carrboro,34,"police, fire, and emergency response","['disaster', 'centers', 'response', 'outages', 'available', 'power', 'information', 'kit', 'field', 'strikes']",,"['residents', 'businesses', 'homeowners', 'renters', 'government agencies']","Carrboro provides information and resources for disaster response, including details from the American Red Cross and SBA Disaster Field Operations Centers, which serve as one-stop-shops for those affected by natural disasters, covering business recovery, disaster loans, and food safety after power outages.",3
Carrboro,35,"police, fire, and emergency response","['rescue', 'department', 'form', 'smoke', 'reflective', 'alarms', 'groups', 'monoxide', 'carbon', 'birthday']",,"['residents', 'children', 'emergency services', 'firefighters', 'school classes', 'community groups']","The Carrboro Fire-Rescue Department offers various community safety services, including child car seat inspections/installations, reflective address sign orders, smoke and carbon monoxide alarm installations/inspections, fire prevention permits, public education events, fire station tours, and visits to community block parties or birthday parties.",4
Carrboro,36,"town governance, human resources, and board appointments","['directory', 'adjustment', 'return', 'title', 'edit', 'member', 'live', 'board', 'town', 'sriv']",,"['Board of Adjustment members', 'Town residents']","This initiative maintains the Town Directory for the Board of Adjustment, listing members and their roles, facilitating transparency in town governance.",3
Carrboro,37,"police, fire, and emergency response","['damage', 'apartment', 'reported', 'heavy', 'investigation', 'smoke', 'displaced', 'visible', 'injuries', 'arrived']",,"['residents', 'firefighters', 'property management', 'American Red Cross', 'assisting fire departments', 'emergency medical services', 'police department']","The Carrboro Fire-Rescue Department responds to structure fires, detailing the efforts of the department and assisting agencies to extinguish fires, assess damage, and provide support for displaced residents and injured individuals, with ongoing investigations into fire causes.",3
Carrboro,38,climate action and clean energy,"['invasive', 'species', 'native', 'spread', 'plants', 'tree', 'usa', 'national', 'remove', 'join']",,"['residents', 'local ecosystems', 'native plants and animals', 'Town of Carrboro', 'Mayor Foushee']","Carrboro is actively working to prevent the spread of invasive species as part of its Community Climate Action Plan. This initiative includes raising awareness, educating residents on identifying and removing invasive plants, encouraging the planting of native species, and promoting volunteer efforts for public land cleanups, highlighted by a National Invasive Species Awareness Week proclamation.",3
Carrboro,39,"town governance, human resources, and board appointments","['tuesdays', 'meeting', 'calendar', '1st', 'sessions', 'generally', 'meetings', 'livestream', 'thursday', '3rd']",,"['Town Council members', 'residents']","This initiative outlines the Carrboro Town Council's meeting schedule, including regular business meetings on the first and third Tuesdays, work sessions on the second Tuesdays (where public comment is not accepted and votes are not taken), and a new meeting time for 2024.",3
Carrboro,40,"town governance, human resources, and board appointments","['website', 'redesign', 'features', 'government', 'homepage', 'streamlines', 'accessed', 'function', 'carrboronc', 'commonly']",,"['residents', 'local government', 'Town Manager Patrice Toney', 'Communication and Engagement Department', 'Town Communications Team']","The Town of Carrboro launched a redesigned website (www.carrboronc.gov) to improve accessibility, functionality, and streamline access to information and services. New features include an improved calendar, links to Town Pillars (Race and Equity, Climate Action), a projects area, translation function, video features, social media content, and ADA compliance, aiming to enhance community engagement and communication.",3
Carrboro,41,"parks, recreation, and public art","['poetry', 'poets', 'laureate', 'poet', 'prize', 'book', 'juneteenth', 'end', 'culture', 'celebration']",,"['poets', 'community partners', 'residents']","Carrboro supports and celebrates poetry and arts through initiatives like the West End Poetry Festival, which has featured numerous acclaimed poets. The town collaborates with community partners to program cultural events, including film festivals and pride celebrations, highlighting the role of poets laureate and local artists.",3
Carrboro,42,"town governance, human resources, and board appointments","['directory', 'edit', 'return', 'live', 'websites', 'seat', 'civicplus', 'sustainability', 'commission', 'title']",,"['Economic Sustainability Commission members', 'Climate and Environmental Advisory Commission members', 'Town residents']","This initiative involves maintaining the town directory, specifically highlighting vacant seats on key commissions such as the Economic Sustainability Commission and the Climate and Environmental Advisory Commission, which are crucial for town governance and sustainability efforts.",3
Carrboro,43,"town governance, human resources, and board appointments","['met', 'tuesday', 'hall', 'took', 'actions', 'march', 'council', 'town', 'attend', '29']",,"['Carrboro Town Council', 'residents', 'Town Manager Patrice Toney', 'Communication and Engagement Department']","The Carrboro Town Council holds regular meetings and town hall events to engage residents on policy changes at state and federal levels, such as proposed legislation impacting flags on government properties and Diversity, Equity, and Inclusion (DEI) programs. The Town Manager shares the town's preparatory actions for these higher-level policies, encouraging public participation.",3
Carrboro,44,uncategorized initiatives,"['immigrant', 'communities', 'rights', '4th', 'support', 'amendment', 'immigrants', 'voices', 'fear', 'resolution']",,"['immigrants', 'residents', 'law enforcement officials']","The Carrboro Town Council passed a resolution to support immigrant communities and 4th Amendment rights, committing to foster a welcoming environment, advocate for clear paths to citizenship and protection of rights, support access to municipal services regardless of immigration status, empower law enforcement to build trust, and encourage community dialogue and cultural exchange.",3
Carrboro,45,"town governance, human resources, and board appointments","['clerk', 'information', 'customer', 'contact', 'specific', 'questions', 'assistance', 'committed', 'visiting', 'visit']",,"['residents', 'customers']",The Town Clerk's office is committed to providing high-quality customer service and encourages residents to contact or visit for questions or assistance with specific information or projects.,3
Carrboro,46,"town governance, human resources, and board appointments","['planning', 'committees', 'force', 'advisory', 'task', 'board', 'northern', 'road', 'smith', 'environmental']",,"['residents', 'community members', 'planning board', 'transportation advisory board', 'environmental advisory board', 'appearance commission', 'northern transition area advisory committee', 'greenways commission']","Carrboro has various active and inactive advisory boards and committees, including the Planning Board, Transportation Advisory Board, Environmental Advisory Board, and Greenways Commission, which are involved in the planning process for the town.",3
Carrboro,47,"town governance, human resources, and board appointments","['manager', 'clerk', 'town', 'council', 'office', 'departments', 'responsible', 'email', 'administrative', 'association']",,"['residents', 'town council', 'town departments', 'staff']","The Town Manager's office is responsible for the administration and execution of all town affairs, implementing policies directed by the Town Council, coordinating and supervising departments, advising the Council, and developing a leadership team to promote progressive and innovative local government and provide administrative support.",3
Carrboro,48,"town governance, human resources, and board appointments","['authorized', 'contract', 'execute', 'agreement', 'approved', 'manager', 'enter', 'amendment', 'funds', 'sungate']",,"['town manager', 'town council', 'residents']","The Town Manager is authorized to execute various contracts and amendments, including a Stormwater and Utility Rate Study Contract, a contract with a Design-Build Firm for Town Hall renovation, and an amendment with the Town Engineer for engineering services.",3
Carrboro,49,uncategorized initiatives,"['venable', 'today', 'carr', 'railroad', 'textile', '1911', 'growth', 'began', 'carolina', 'incorporated']",,['residents'],"This topic describes the history of Carrboro, from its settlement in 1882 as West End, its incorporation as Venable in 1911, and its renaming to Carrboro in 1913. It highlights the town's growth and its reputation as a progressive community, being the first in NC to elect an openly gay Mayor and grant domestic-partner benefits.",3
Carrboro,50,public transportation and roads,"['transportation', 'updates', 'projects', 'october', 'received', 'regular', 'february', 'january', 'archived', 'items']",,"['Carrboro residents', 'Town Council', 'Orange County', 'Triangle West Transportation Planning Organization', 'NC Department of Transportation']","The Carrboro Town Council receives regular updates on major transportation infrastructure projects, which are managed by various entities and are in different stages of development, affecting Carrboro residents.",3
Carrboro,51,public transportation and roads,"['cemetery', 'improvements', 'projects', 'master', 'resurfacing', 'westwood', 'sidewalk', 'improve', 'trip', 'plan']",,"['residents', 'pedestrians', 'bicyclists', 'public works department']","Carrboro is undertaking several public works projects including downtown sidewalk improvements to address trip hazards and enhance pedestrian safety, a 2025 Street Resurfacing Project to improve 27,574 square yards of roadways and install a new sidewalk on Roberson St, and the approved Westwood Cemetery Master Plan which includes expanded burial areas, new road access, walking paths, a rain garden, and other enhancements.",3
Carrboro,52,public transportation and roads,"['bike', 'silver', 'biking', 'bicyclists', 'friendly', 'bicycle', 'workshops', 'league', 'designated', 'american']",,"['bicyclists', 'residents', 'students', 'community members']","Carrboro is recognized as a Silver Level Bicycle Friendly Community and promotes biking through initiatives like Bike Month events, workshops, and support for bike-friendly infrastructure and policies, aiming to reduce car use and emissions and promote healthy living, as outlined in plans like the Carrboro Connects Comprehensive Plan and Safe Routes to School Strategic Action Plan.",3
Carrboro,53,"town governance, human resources, and board appointments","['technology', 'processes', 'various', 'effective', 'increase', 'business', 'cost', 'streamlined', 'delivering', 'mutually']",,"['town departments', 'staff', 'residents']","The Information Technology department aims to provide cost-effective technology-based solutions to enhance town services, improve access to vital government data, streamline business processes, and increase business continuity by partnering with departments and external organizations.",3
Carrboro,54,public transportation and roads,"['weaver', 'street', 'study', 'east', 'capacity', 'reimagining', 'vehicles', 'analysis', 'council', 'watch']",,"['downtown businesses', 'patrons', 'communities', 'residents', 'cyclists', 'pedestrians', 'drivers']","Carrboro is evaluating the permanent closure of East Weaver Street to vehicles to enhance place-making and the bike-ped network. A capacity study was conducted, and the Town Council paused the project for a year for further community engagement. Recommendations include lane reallocation on East Main and North Greensboro Streets and maintaining Maple Avenue as one-way.",4
Carrboro,55,climate action and clean energy,"['poetic', 'learning', 'earth', 'forest', 'high', 'network', 'lighting', 'carolina', 'school', 'activity']",,"['community members', 'local organizations', 'Town departments', 'businesses', 'patrons', 'students']","Carrboro Earth Day is an event celebrating sustainability with eco-friendly activities, outdoor fun, and learning opportunities to protect the planet. It features car-free streets, cycling, walking, green initiatives, and various vendors and organizations. Moving forward, Carrboro Day and Earth Day will be combined into one event.",3
Carrboro,56,"waste management, stormwater, and infrastructure","['waste', 'solid', 'collection', 'works', 'fleet', 'collecting', 'borrowed', 'loader', 'truck', 'monday']",,"['community members', 'residents', 'commercial properties', 'apartment complexes']","Carrboro Public Works is working to restore full solid waste collection services, especially in areas affected by flood damage. They are utilizing a fleet of vehicles, including borrowed side loaders and trucks from neighboring counties, to collect debris, dumpsters, and bulk waste, prioritizing hard-hit areas.",3
Carrboro,57,"town governance, human resources, and board appointments","['directory', 'edit', 'websites', 'return', 'civicplus', 'live', 'adjustment', 'title', 'government', 'home']",,"['Town staff', 'board members']","This initiative concerns the management and accessibility of the Town Directory for various departments and boards (e.g., Board of Adjustment, Planning Board staff) on the government website, including features like 'Live Edit' functionality.",3
