municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Mebane,10,"parks, recreation, and public art","['parade', 'downtown', 'pleased', 'takes', 'present', 'easter', 'mebane', 'place', 'christmas', 'businesses']",,"['residents', 'families', 'downtown businesses', 'Downtown Mebane Development Corporation', 'churches', 'school groups', 'parade applicants', 'sponsors and partners']","This initiative involves organizing and presenting annual downtown community events: the ""Downtown Mebane Eggstravaganza and Bunny Hop"" for Easter, which includes egg decorating and bunny visits, and the ""Mebane Christmas Parade,"" a nighttime parade featuring over 100 entries. Both events aim to engage the community and support local businesses.",3
Mebane,11,"town governance, human resources, and board appointments","['map', 'gis', 'sites', 'mapping', '2045', 'county', 'application', 'future', 'installation', 'use']",,"['City of Mebane facilities', 'IT staff', 'residents', 'Alamance County', 'Orange County']","This initiative focuses on Geographical Information Systems (GIS) and mapping projects, providing interactive maps for planning jurisdiction, zoning, parks, garbage/recycling pickup, and development activity (Mebane 2045 Future Land Use Map). It also includes the Lumos Fiber installation project, enhancing high-speed fiber connectivity across city facilities to improve operations and support public Wi-Fi.",3
Mebane,12,"building permits, inspections, and local ordinances","['development', 'planning', 'adopted', 'zoning', 'requests', 'range', 'long', 'rezoning', 'plan', 'unified']",,"['City of Mebane', 'residents', 'developers', 'Planning and Zoning Department', 'Inspections Department', 'various boards and commissions']","This initiative involves the Planning and Zoning Department overseeing growth and development in Mebane. Key responsibilities include maintaining and enforcing the Unified Development Ordinance (UDO), managing planning needs like zoning permits, rezoning, annexations, and site plan reviews, and implementing long-range plans. The department works closely with the Inspections Department to ensure all construction and development activities comply with local ordinances.",3
Mebane,13,"parks, recreation, and public art","['registration', 'opens', 'residents', 'players', '15th', 'ends', 'program', '1st', 'start', 'non']",,"['new players', 'Mebane residents', 'non-residents', 'participants']","This initiative outlines the registration process for various programs, specifying different opening dates for Mebane residents and non-residents (e.g., June 1st/15th, July 1st/15th) and indicating that registration closes when the program is full or by a set date (e.g., August 1st).",3
Mebane,14,uncategorized initiatives,"['mask', 'allowed', 'immunity', 'lake', 'michael', 'vaccinated', 'wear', 'fishing', 'dog', 'places']",,"['Residents', 'Fully vaccinated people', 'Unvaccinated people']","Guidelines regarding mask-wearing for fully vaccinated and unvaccinated individuals, emphasizing the need to carry a mask and the time required to build full immunity after vaccination.",3
Mebane,15,"parks, recreation, and public art","['features', 'play', 'playground', 'swing', 'farm', 'officially', 'opened', 'area', 'park', 'walking']",,"['Families', 'Children', 'Community members', 'Parents']","Development and expansion of Cates Farm Park, including the official opening of an accessibly inclusive playground with features like a wheelchair swing, cargo nets, and dedicated play areas for different age groups, along with walking trails and other park amenities.",3
Mebane,16,"building permits, inspections, and local ordinances","['permit', 'building', 'portal', 'permits', 'lien', 'workers', 'affidavit', 'exceed', 'inspections', 'zoning']",,"['Residents', 'Businesses', 'Contractors', 'Developers', 'City departments (Planning, Inspections, Fire)']","Implementation of an improved online permit and plan review portal for various permits, including building, business occupancy, and fire permits, outlining required forms, fees, and inspection processes.",3
Mebane,17,"waste management, stormwater, and infrastructure","['qualifications', 'west', 'road', 'connector', 'ductile', 'engineering', 'asset', 'firms', 'request', 'main']",,"['Professional engineering firms', 'City of Mebane', 'Residents']","Request for qualifications from professional engineering firms to provide services for the proposed West Ten Road Water Connector, which involves installing approximately 3,300 LF of 12-inch ductile iron water main.",3
Mebane,18,"waste management, stormwater, and infrastructure","['water', 'particles', 'black', 'brown', 'white', 'iron', 'discolored', 'heater', 'odor', 'faucet']",,"['Residents', 'Households', 'Public Utilities Department']","Guidance for residents on identifying and addressing various water quality issues, including discolored water (gray, black, brown, yellow, green) caused by sediments or internal plumbing, and different types of particles (black, brown/orange, white) originating from filters, faucets, pipes, or water heaters. It also covers chlorine and foul odors.",3
Mebane,19,public transportation and roads,"['pedestrian', 'bicycle', 'bpac', 'transportation', 'meetings', 'advisory', 'planning', 'routes', 'bike', 'plans']",,"['Pedestrians', 'Cyclists', 'Community members', 'City Council', 'Planning Department', 'Recreation & Parks Department']","Activities and purpose of the Mebane Bicycle & Pedestrian Advisory Commission (BPAC), which advises the City Council on bicycle and pedestrian needs, promotes safety and accessibility, and organizes community engagement events like the Mebane Activity Challenge. The BPAC operates under the Bicycle and Pedestrian Transportation Plan.",3
Mebane,20,"police, fire, and emergency response","['captain', 'criminal', 'justice', 'carolina', 'cole', 'university', 'assistant', 'richardson', 'law', 'north']",,"['Mebane Police Department staff', 'Community members']","Details the administrative staff of the Mebane Police Department, including Assistant Chief J. L. Richardson and Captains A. T. Cole and C. W. Snell, highlighting their promotions, career assignments, educational backgrounds in criminal justice, and certifications in law enforcement.",3
Mebane,21,"waste management, stormwater, and infrastructure","['specifications', 'standards', '2021', 'april', 'posted', 'city', 'details', 'download', 'construction', 'mebane']",,"['City of Mebane', 'Developers', 'Contractors', 'Public Works Department']","The City of Mebane's standards and specifications for street details and material specifications, made available for download, likely for construction and development projects.",3
Mebane,22,"parks, recreation, and public art","['golf', 'kids', 'play', 'family', 'team', 'game', 'course', 'fun', 'courses', 'creek']",,"['Kids', 'Families', 'Young golfers', 'Parents/Guardians']","Programs focused on introducing children and families to golf, such as the Family Team Series Program and the Mill Creek Jr. Golf Camp, emphasizing fun, learning through play, and family involvement in the game.",3
Mebane,23,"police, fire, and emergency response","['family', 'real', 'targeting', 'money', 'immediately', 'scams', 'number', 'text', 'bank', 'banking']",,"['Seniors', 'Families', 'Residents']","Warnings and advice for residents on how to protect themselves and their families from various scams, including those impersonating utility providers or family members in distress, and recommending verification steps like calling family directly or agreeing on a 'safe word'.",3
Mebane,24,"building permits, inspections, and local ordinances","['bid', 'bond', 'bidders', 'licensed', 'performance', 'bidder', 'owner', 'bids', 'shall', 'reject']",,"['licensed contractors', 'bidders', 'property owners', 'City of Mebane']","This initiative outlines the requirements for bidders, including being duly licensed contractors, and the necessity of bid bonds or certified checks for construction projects in Mebane.",3
Mebane,25,"police, fire, and emergency response","['seat', 'technician', 'car', 'child', 'vehicle', 'proper', 'discuss', 'harness', 'technicians', 'facing']",,"['parents', 'caregivers', 'children', 'Mebane Fire Department', 'Child Passenger Safety (CPS) Technicians']","The Mebane Fire Department offers a free Child Safety Seat Permanent Checking Station, providing nationally certified technicians to educate parents and caregivers on the correct selection, installation, and use of car seats to prevent unintentional deaths in children.",3
Mebane,26,"police, fire, and emergency response","['calea', 'accreditation', 'agency', 'process', 'standards', 'law', 'professional', 'enforcement', 'portal', 'titles']",,"['Mebane Police Department', 'Chief Executive Officer (CEO)', 'law enforcement personnel', 'community members', 'CALEA assessors']","The Mebane Police Department participates in the CALEA Law Enforcement Accreditation process, a modern management model designed to establish professional standards, improve service delivery, strengthen accountability, and facilitate professional excellence, with public feedback opportunities via a portal.",3
Mebane,27,"parks, recreation, and public art","['parks', 'recreation', 'facilities', 'matters', 'programs', 'december', 'meetings', 'sub', 'commission', 'advocacy']",,"['City Council', 'Recreation and Parks Department', 'citizens', 'legislators', 'senior citizens (via SPICE subcommittee)', 'Recreation and Parks Advocacy Commission members']","The Mebane Recreation and Parks Advocacy Commission provides direction to the City Council and Recreation and Parks Department on programs, facilities, policies, and long-range plans, acting as champions to promote the value of recreation and parks to the community.",3
Mebane,28,"waste management, stormwater, and infrastructure","['standards', 'design', 'specifications', 'construction', 'city', 'shall', 'projects', 'ordinance', 'apply', 'manual']",,"['engineers', 'contractors', 'developers', 'City of Mebane staff (City Engineer)', 'residents (impacted by infrastructure projects)']","The City of Mebane has established design standards and specifications to guide the preparation and submittal of plans and the construction of roadway, utility, and development projects, ensuring uniformity and adherence to local ordinances within the city and its extra-territorial jurisdiction.",3
Mebane,29,"town governance, human resources, and board appointments","['board', 'meetings', 'planning', 'agenda', 'meeting', 'minutes', 'video', 'advisory', 'packet', '2025']",,"['Planning Board members', 'Board of Adjustment members', 'Racial Equity Advisory members', 'Bicycle and Pedestrian Advisory Commission members', 'Recreation and Parks Advocacy Commission members', 'public']","This initiative provides public access to information regarding Planning Board meetings, including agendas, minutes, and video recordings, as well as information for other city advisory commissions.",3
Mebane,30,"waste management, stormwater, and infrastructure","['doctor', 'verification', 'receiving', 'request', 'special', 'typically', 'form', 'service', 'services', 'report']",,"['physically disabled residents', 'elderly disabled residents', 'Public Works Department Sanitation Division staff', 'doctors']","Mebane's Public Works Department, Sanitation Division, offers special collection services for physically or elderly disabled residents upon receiving a valid doctor's verification form, with periodic updates to ensure continued need.",3
