municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Chapel Hill,7,"town governance, human resources, and board appointments","['pay', 'job', 'positions', 'employees', 'evergreen', 'departments', 'classification', 'ranges', 'new', 'progressions']",,"['Town employees', 'Supervisors', 'Department heads', 'Town Manager', 'HRD', 'Town Council']","Chapel Hill conducted an Employee Pay and Classification Study, resulting in a new Pay Plan with updated pay grades, salary ranges, and job titles. This initiative aims to ensure fair compensation and provide clear career progression paths for employees. It involved input from employees and supervisors, benchmarking against peer organizations, and includes plans for yearly increases and detailed job progressions.",3
Chapel Hill,8,affordable housing and zoning,"['lot', 'maximum', 'size', 'minimum', 'unrelated', 'apartment', 'detached', 'parking', 'accessory', 'feet']",,"['Property owners', 'Developers', 'Residents']","Chapel Hill defines dimensional standards for various housing types, including accessory apartments and two-family units. These standards cover minimum lot size, maximum floor area, height limits, impervious surface ratio, occupancy limits (e.g., maximum 4 unrelated people), and parking requirements. These regulations are part of the town's zoning and land use management.",3
Chapel Hill,9,"building permits, inspections, and local ordinances","['zoning', 'compliance', 'plan', 'district', 'site', 'review', 'buffer', 'sq', 'ft', 'plans']",,"['Property owners', 'Developers', 'Builders', 'Applicants', 'Town staff', 'Planning Director']","Chapel Hill's Zoning Compliance Permit process involves different levels of review (Limited, Administrative, Final Plans) for various types of work, from food trucks to new developments. The process requires detailed site plans that demonstrate compliance with zoning regulations, including considerations for Resource Conservation Districts, floodplains, and Jordan Watershed Riparian Buffers. Resources like GIS maps and zoning lookup tools are provided to assist applicants.",3
Chapel Hill,10,climate action and clean energy,"['flood', 'risk', 'map', 'fema', 'maps', 'mapping', 'data', 'products', 'hazard', 'understand']",,"['communities', 'homeowners', 'mortgage lenders', 'community officials', 'engineers', 'insurance professionals', 'property owners']","This initiative involves the use and update of FEMA flood maps and risk assessments to help communities, homeowners, and other stakeholders understand and manage flood risk, including processes for map amendments and revisions.",3
Chapel Hill,11,"police, fire, and emergency response","['police', 'vehicle', 'incident', 'reports', 'check', 'house', 'doors', 'windows', 'report', 'make']",,"['residents', 'homeowners', 'victims of harassment', 'victims of identity theft', 'individuals with lost property', 'victims of phone scams', 'victims of stolen property', 'victims of property damage', 'victims of theft from vehicle', 'victims of vehicle damage']","The Chapel Hill Police Department offers services including house checks for residents out of town and a Virtual Report Unit for filing non-emergency police reports (e.g., harassment, identity theft, lost/stolen property, damage to property/vehicle) by phone, in-person, or online. Incident and arrest reports are also viewable online.",3
Chapel Hill,12,affordable housing and zoning,"['str', 'operator', 'responsibility', 'strs', 'simultaneous', 'rentals', 'rental', 'minimum', 'primary', 'prohibited']",,"['STR operators', 'guests', 'property owners', 'nearby residents or businesses']","This initiative outlines the operational requirements for Short-Term Rentals (STRs) in Chapel Hill, including rules for simultaneous rentals (prohibited in dedicated STRs, permitted in primary residences if the operator is on-site), maximum overnight occupancy, designation of a local responsible party, compliance with noise and parking ordinances, special event permits, prohibition of advertising signs, payment of taxes, minimum rental age (18 for primary guest), minimum rental duration (18 hours), and limits on dedicated STR units in multi-family developments.",3
Chapel Hill,13,affordable housing and zoning,"['proclaimed', 'proclamation', 'month', 'week', 'april', '2026', 'encouraged', 'highlights', 'council', 'update']",318000.0,"['Public Works staff', 'residents', 'Asian American and Pacific Islander population', 'organizations and individuals working on affordable housing', 'Community Home Trust', 'Blue Sky Robotics', 'community members']","Chapel Hill Council proclaimed May 2026 as Public Works Week, Asian American and Pacific Islander Month, Affordable Housing Month, and Historic Preservation Month, and June 18, 2026, as Community Home Trust Day, recognizing contributions and encouraging participation in related initiatives. The Council also received an update on the Climate Action Plan and approved a $318,000 economic development incentive package for Blue Sky Robotics based on job creation.",3
Chapel Hill,14,climate action and clean energy,"['camille', 'elizabeth', 'university', 'environmental', 'served', 'melissa', 'school', 'children', 'family', '2023']",,['community members'],"Melissa McCullough, a Chapel Hill Council Member (2023-2027), has a background in environmental protection and sustainability, having worked for the US EPA and served on the Planning Commission, Environmental Stewardship Advisory Board, Orange County Climate Council, and Sierra Club, focusing on land use planning, water quality, air pollution, and community health.",3
Chapel Hill,15,"parks, recreation, and public art","['art', 'public', 'arts', 'shall', 'artwork', 'percent', 'capital', 'artist', 'program', 'life']",,"['Town Council', 'Public Arts Commission', 'artists', 'community members']","Chapel Hill is establishing a 'Percent for Public Art Program' for Town-funded capital improvement projects, where artwork location will generally be on the project site. The Town Council will annually consider a Public Art Plan recommended by the Public Arts Commission.",3
Chapel Hill,16,"building permits, inspections, and local ordinances","['historic', 'districts', 'district', 'standards', 'commission', 'principles', 'appropriateness', 'zoning', 'character', 'certificate']",,"['property owners', 'applicants', 'Historic District Commission', 'community members']","The Historic District Commission in Chapel Hill manages local historic districts and landmarks by enforcing the Chapel Hill Historic Districts Design Principles & Standards, which guide physical changes and determine the congruity of proposals with the districts' character. Property owners must obtain a Certificate of Appropriateness (COA) for projects, and the Commission holds quasi-judicial meetings for review.",3
Chapel Hill,17,"parks, recreation, and public art","['courts', 'tennis', 'park', 'cedar', 'falls', 'court', 'lights', 'bocce', 'pickleball', 'complete']",,"['residents', 'park users', 'tennis players', 'community members']","Cedar Falls Park in Chapel Hill is undergoing improvements, including paving of the parking lot (expected July 2026) and reconstruction of tennis courts with new sustainable LED lighting, which are substantially complete and expected to open in summer 2026. The park offers athletic fields, a playground, and trails, and facilities can be rented.",3
Chapel Hill,18,"town governance, human resources, and board appointments","['naming', 'committee', 'facilities', 'facility', 'recommendations', 'renaming', 'streets', 'rights', 'comments', 'names']",,"['Town Council', 'Naming Committee', 'public', 'advisory boards and commissions', 'donors', 'residents', 'developers', 'organizations']","Chapel Hill has established a Naming Committee, appointed by the Town Council, to manage the naming, renaming, or dedicating of Town facilities (buildings, parks, greenways, etc.) and residential streets. The process involves receiving public petitions, seeking ideas from community organizations, inviting public comments, and submitting recommendations to the Council. Separate policies exist for the sale of naming rights for portions of facilities and memorial markers at Peace and Justice Plaza.",3
Chapel Hill,19,"parks, recreation, and public art","['swim', 'water', 'child', 'skills', 'pool', 'adult', 'aquatic', 'bubbles', 'basic', 'children']",,"['children', 'parents']","Chapel Hill offers preschool aquatic programs for children aged 3-5, focusing on basic water skills, comfort in water, and developing independent aquatic locomotion. These programs cater to children with little or no prior water experience who can separate from parents, and build on fundamental skills like submerging heads and blowing bubbles.",3
Chapel Hill,20,"town governance, human resources, and board appointments","['volunteer', 'background', 'volunteers', 'driving', 'register', 'checks', 'online', 'application', 'fingerprinting', 'ordered']",,"['volunteers', 'vulnerable populations', 'recreation specialists']","Chapel Hill outlines procedures for volunteers, including background and driving history checks for those working with vulnerable populations or driving for the town. Volunteers must complete an online application and agreement.",3
Chapel Hill,21,"town governance, human resources, and board appointments","['rental', 'rentals', 'request', 'deposit', 'weeks', 'reservations', 'vary', 'advance', 'room', 'rate']",,"['Council members', 'non-profit groups', 'public', 'facility renters', 'Finance Director', ""Manager's Office""]","Chapel Hill outlines procedures for making reservations for Council members, including travel advances requiring two weeks for processing. The town also specifies a $100 security deposit for facility rentals, with exemptions for non-profit groups hosting public-benefiting, non-commercial programs.",3
Chapel Hill,22,"waste management, stormwater, and infrastructure","['stream', 'verification', 'streams', 'classification', 'field', 'perennial', 'determination', 'intermittent', 'site', 'rcd']",0.0,"['property owners', 'Town stream ecologist', 'Town staff', 'licensed Land Surveyor', 'Stormwater Management Division', 'Town Planners', 'applicants for development']","Chapel Hill provides a free stream determination service to classify streams (perennial, intermittent, ephemeral) and waterbodies on properties using State and Town criteria. This classification helps determine Resource Conservation District (RCD) boundaries. Property owners can request a determination, and surveyors can delineate RCDs based on the report. Field verifications are valid for 5 years, and disagreements with classifications can be appealed.",3
Chapel Hill,23,"waste management, stormwater, and infrastructure","['impervious', 'fee', 'unit', 'total', 'square', 'surface', 'association', 'surfaces', 'common', 'interior']",,"['unit owners', 'associations', 'developers']","Chapel Hill outlines methods for billing impervious surface fees for developments, allowing for proportional billing based on interior floor area or shared billing where associations pay for common areas and unit owners for private property. Clear delineation of common areas is required for shared billing.",3
Chapel Hill,24,"town governance, human resources, and board appointments","['services', 'architectural', 'engineering', 'work', 'contracts', 'provide', 'scope', 'firm', 'best', 'selection']",,"['firms', 'individuals', 'Town']","Chapel Hill has a policy to select the most suitable firms or individuals to provide professional architectural and engineering services to the Town. The selection is based on demonstrated competence and qualifications to meet the required scope of services, under contractual or performance agreements.",3
Chapel Hill,25,"parks, recreation, and public art","['event', 'events', 'nearby', 'businesses', 'permits', 'publicly', 'advertised', 'special', 'outdoor', 'residents']",,"['residents', 'businesses', 'event organizers', 'public']","Chapel Hill requires special event permits for outdoor events on public property (parks, sidewalks, streets, parking lots) and for events on private property if they impact nearby residents or businesses, are publicly advertised, or are near a public street/parking lot.",3
Chapel Hill,26,public transportation and roads,"['parking', 'starts', 'express', 'heel', 'game', 'tar', 'service', 'stadium', 'football', 'basketball']",,"['fans', 'UNC-Chapel Hill', 'public transit users', 'residents']","Chapel Hill Transit operates the 'Tar Heel Express' shuttle service for fans attending UNC-Chapel Hill home football and men's basketball games, and other major campus events. The service provides continuous transportation from Park and Ride lots and downtown Chapel Hill, with passes costing $10 per person (kids 5 and under free).",3
Chapel Hill,27,"parks, recreation, and public art","['parks', 'recreation', 'june', 'hours', 'july', 'facilities', 'monday', 'community', 'published', 'beginning']",,"['community members', 'taxpayers']","Chapel Hill Parks and Recreation will adjust facility operating hours starting July 6 to align with community usage and ensure responsible use of taxpayer dollars. Additionally, the Chapel Hill Community Center is set to reopen June 1 after HVAC system replacement.",3
Chapel Hill,28,"town governance, human resources, and board appointments","['consecutive', 'board', 'terms', 'absence', 'shall', 'serve', 'commission', 'case', 'term', 'member']",,"['board members', 'commission members', 'committee members', 'Council', 'Orange County Board of Commissioners', 'Mayor', 'Town Clerk']","Chapel Hill has policies regarding advisory board and commission member attendance, leave of absence, and term limits. Members missing three consecutive meetings or over half in a year will be replaced. Leave of absence requires Council approval and cannot exceed five months. Members generally serve no more than two consecutive full terms (three for Board of Adjustment), with eligibility to serve again after a one-year absence.",3
Chapel Hill,29,"town governance, human resources, and board appointments","['internship', 'thorpe', 'undergraduate', 'program', 'interns', 'attend', 'mayor', 'human', 'internships', 'elected']",2500.0,"['students', 'undergraduate interns', ""Mayor's Office"", 'Town leadership', 'Town departments', 'residents', 'elected officials', 'local businesses', 'community groups and organizations', 'federal and state agencies', 'Town staff']","Chapel Hill offers paid internship opportunities, including the Bill Thorpe Undergraduate Internship Program (up to $2500 compensation) and the Mayor's Internship program (up to $1000 per semester). These programs aim to provide students with real-world experience in local government, working with town leadership and departments, and contributing to the community.",3
Chapel Hill,30,"town governance, human resources, and board appointments","['2026', 'commissions', 'meetings', 'boards', 'adjustment', 'aug', 'regarding', 'cases', 'planning', 'community']",,"['Town Council', 'Town staff', 'Residents', 'Developers']","This initiative details the scheduling and functions of various Chapel Hill town boards and commissions, including the Community Design Commission, Board of Adjustment, Historic District Commission, Criminal Justice Debt Program Advisory Committee, and Planning Commission, outlining their roles in guiding development, land use, and community character through meetings in 2026.",3
Chapel Hill,31,public transportation and roads,"['transit', 'advertising', 'transportation', 'streets', 'chapel', 'hill', 'spontaneous', 'route', 'buses', 'stops']",,"['Residents', 'Commuters', 'Businesses (advertisers)', 'Town Council']","Chapel Hill's transit initiative covers fare-free bus services, real-time bus tracking, and transit advertising to offset operating costs. It also includes policies on public street usage, prioritizing safe vehicular traffic flow over unauthorized spontaneous events.",3
Chapel Hill,32,affordable housing and zoning,"['fees', 'affordable', 'units', 'waived', 'refund', 'development', 'waiver', 'fee', 'waivers', 'refunds']",,"['Developers', 'Low-income residents', 'Non-profit organizations', 'Town staff']","Chapel Hill offers fee waivers and pro-rata refunds for planning review fees for affordable housing units in development projects, contingent on an Affordable Housing Performance Agreement. Waivers also extend to public projects and non-profit service projects.",3
Chapel Hill,33,"police, fire, and emergency response","['debt', 'criminal', 'justice', 'crisis', 'fees', 'costs', 'program', 'court', 'restoration', 'stability']",,"['Indigent residents', 'Chapel Hill Police Crisis Unit', 'Criminal Justice Debt Program Advisory Committee']","Chapel Hill's Criminal Justice Debt Program, in partnership with the Police Crisis Unit, assists eligible indigent Orange County residents with post-conviction court fees, deferred prosecution costs, and NCDMV license restoration fees to support stability and community reintegration.",3
Chapel Hill,34,"town governance, human resources, and board appointments","['fee', 'schedule', 'schedules', 'dept', 'culture', 'services', 'user', 'library', 'annually']",,"['Residents', 'Businesses', 'Town Council', 'Town departments']","Chapel Hill annually establishes and publishes user fee policies, fee schedules, and facility use policies for various Town services, including business permits, planning, transit, building development, parks and recreation, public works, police, fire, parking, and arts and culture.",3
Chapel Hill,35,"police, fire, and emergency response","['investigating', 'rescue', 'redbud', 'lane', 'cause', 'road', 'house', 'firefighters', 'honeysuckle', 'injuries']",,"['Residents', 'Chapel Hill Fire Rescue personnel']",Chapel Hill Fire Rescue is investigating a house fire on Redbud Lane that resulted in one fatality. The investigation is ongoing to determine the fire's cause and the victim's identity.,3
Chapel Hill,36,"building permits, inspections, and local ordinances","['learn', 'construction', 'permits', 'inspection', 'residential', 'enforcement', 'projects', 'review', 'permit', 'departments']",,"['Developers', 'Property owners', 'Businesses', 'Residents', 'Town staff']","Chapel Hill provides resources for residential and commercial building permits and inspections, code enforcement, business services, active development project information, planning and zoning resources, and stormwater construction regulations.",3
Chapel Hill,37,"town governance, human resources, and board appointments","['seeking', 'qualified', 'janitorial', 'services', 'transit', 'chapel', 'hill', 'summary', 'bids', 'companies']",,"['Contracting companies', 'Chapel Hill Transit', 'Parks and Recreation users', 'Town staff']",Chapel Hill is soliciting statements of qualifications from firms for consulting services on the Bus Rapid Transit project and proposals from companies for janitorial services at multiple Parks and Recreation facilities.,3
Chapel Hill,38,"parks, recreation, and public art","['coaching', 'volunteer', 'coach', 'athletics', 'coaches', 'online', 'application', 'leagues', 'interested', 'administered']",,"['Youth athletes', 'Volunteer coaches', 'Community members']","Chapel Hill's athletics leagues depend on volunteer coaches, and the Town invites individuals passionate about youth sports to apply for coaching positions to ensure the leagues' success.",3
Chapel Hill,39,"town governance, human resources, and board appointments","['motion', 'main', 'vote', 'stated', 'table', 'chair', 'order', 'second', 'adjourn', 'reconsider']",,"['Town Council members', 'Town staff']","Chapel Hill's Town Council follows parliamentary procedures for deliberations, outlining rules for various motions (main, subsidiary, amend, substitute, reconsider, adjourn), voting, and appeals to ensure orderly meetings and fair decision-making.",3
Chapel Hill,40,"waste management, stormwater, and infrastructure","['flood', 'insurance', 'elevation', 'floodplain', 'damage', 'maps', 'stormwater', 'rates', 'flooding', 'base']",,"['Residents', 'Property owners', 'Real estate agents', 'Developers', 'Insurance companies', 'Town staff']","Chapel Hill implements a Flood Damage Prevention Ordinance requiring structures in floodplains to be elevated at least two feet above base flood elevation to reduce damage and potentially lower flood insurance rates. The town provides information on flood risks, FEMA maps, and offers assistance with Letters of Map Change and elevation certificates. It also maintains a Hazard Mitigation Plan to reduce property damage from natural disasters and ensures eligibility for state and federal mitigation funds.",3
Chapel Hill,41,"waste management, stormwater, and infrastructure","['rcd', 'stream', 'streams', 'property', 'determination', 'perennial', 'conservation', 'resource', 'floodplain', 'district']",,"['Property owners', 'Developers', 'Residents', 'Town Planning Department', 'Stormwater Management Division', 'Surveyors']","Chapel Hill enforces Resource Conservation Districts (RCDs) as an overlay zoning district to protect stream corridors, preserve water quality, minimize flood damage, and prevent erosion. RCD provisions limit structures and development within streamside buffer areas. The town provides a process for stream determination and RCD boundary delineation, with specific regulations for building activities within RCDs and FEMA regulatory floodplains, including requirements for permits and potential variances.",3
Chapel Hill,42,"town governance, human resources, and board appointments","['financial', 'quarterly', 'budgets', 'reports', 'budget', 'debt', 'schedules', 'annual', 'transparency', 'accountability']",,"['Residents', 'Taxpayers', 'Town Council', 'Town departments', 'Financial stakeholders']","Chapel Hill maintains a commitment to financial transparency and accountability by providing public access to annual budgets, financial reports, quarterly updates, fee schedules, capital improvements program, and debt management information. These resources inform residents about public fund allocation and management.",3
Chapel Hill,43,public transportation and roads,"['2026', 'july', '04', 'june', 'jul', 'community', 'food', 'night', 'helps', '4th']",,"['Residents', 'Commuters', 'Parks and Recreation users', 'Community members', 'Law enforcement', 'NCDOT']","Chapel Hill is engaged in several ongoing community initiatives and projects, including the Bus Rapid Transit upgrade to improve transportation, the Vision Zero Chapel Hill initiative for road safety and equitable mobility, and the Everywhere-to-Everywhere Greenways Feasibility Study to create a safer, more connected town. Other activities include adjusting Parks and Recreation facility hours, community food distribution, and celebrating civic events.",3
Chapel Hill,44,"town governance, human resources, and board appointments","['donations', 'gifts', 'labels', 'acknowledgment', 'issued', 'policy', 'text', 'specified', 'cash', 'donors']",,"['Donors', 'Town Council', 'Town Manager', 'Town departments', 'Community organizations']","Chapel Hill has a uniform policy for accepting gifts and donations, distinguishing between those requiring Town Council approval (e.g., real estate, personal property with significant expenditure, restricted cash for non-current operating plans) and those the Town Manager can accept (e.g., unrestricted cash, cash for specified programs in current operating plans). The policy also outlines guidelines for donor acknowledgment labels.",3
Chapel Hill,45,"town governance, human resources, and board appointments","['clerk', 'applications', 'vacancy', 'appointments', 'vacancies', 'board', 'commission', 'recommendation', 'eligibility', 'forward']",,"['Applicants for advisory boards/commissions', 'Current board/commission members', 'Town Council', 'Town Clerk', 'Residents']","Chapel Hill has established an application and appointment process for its advisory boards and commissions. The Town Clerk manages applications, advertises vacancies, and verifies eligibility. Boards and commissions review applicants and recommend candidates to the Town Council, which makes final appointments in open meetings, with provisions for filling mid-term vacancies and handling applications received after deadlines.",3
Chapel Hill,46,"town governance, human resources, and board appointments","['hearings', 'hearing', 'public', 'oath', 'notice', 'evidence', 'subject', 'examination', 'special', 'witnesses']",,"['Public', 'Residents', 'Applicants for zoning changes/permits', 'Town Council', 'Town staff', 'Witnesses']","Chapel Hill conducts public hearings to gather input on various matters, including zoning changes, subdivision applications, and special use permits. Procedures are established for giving public notice, the format of hearings, and requirements for testimony under oath, especially for quasi-judicial matters like special use and subdivision hearings, where decisions are based solely on sworn evidence presented.",3
Chapel Hill,47,"building permits, inspections, and local ordinances","['county', 'register', 'deeds', 'durham', 'property', 'search', 'orange', 'pin', 'address', 'elections']",,"['Property owners', 'Real estate agents', 'Surveyors', 'Legal professionals', 'Residents']",Chapel Hill provides guidance to residents on how to access property information through the Register of Deeds in Orange and Durham Counties. This includes instructions for searching property identification numbers (PINs) and addresses using county GIS mapping systems and public databases for property records.,3
Chapel Hill,48,"town governance, human resources, and board appointments","['session', 'closed', 'taken', 'action', 'law', 'open', 'attorney', 'sessions', 'inspection', 'decisions']",,"['Town Council', 'Town Attorney', 'Town staff', 'Public']","Chapel Hill follows specific procedures for holding closed sessions as permitted by the Open Meetings Law. These sessions are limited to discussions on topics such as consulting with the Town's attorney, negotiating real property acquisition, or considering employee performance. While some actions can be taken in closed session, final actions are generally required in open session, and minutes are kept, though they may be withheld from public inspection under certain conditions.",3
Chapel Hill,49,"town governance, human resources, and board appointments","['ballots', 'ballot', 'voting', 'appointments', 'clerk', 'results', 'appointment', 'advisory', 'body', 'vote']",,"['Town Council', 'Applicants for advisory boards/commissions', 'Town Clerk']","Chapel Hill Council's practice for making appointments to boards and commissions involves voting by signed written ballot, as required by North Carolina Law. The Town Clerk manages the ballot process, tabulates votes, and announces results in open meetings. Ballots are available for public inspection, and procedures are in place for tie votes or insufficient votes, allowing for re-voting or delayed appointments.",3
